feature,importance
International trade: Exports (million US$)_134,0.0002872027448989798
Infant mortality rate (per 1000 live births_4.1,0.0002859670953374117
Education: Secondary gross enrol ratio (f/m per 100 pop)_95.1/96.8,0.0002859065383555221
Education: Secondary gross enrol ratio (f/m per 100 pop)_101.7/130.7,0.00028572207152895076
International trade: Exports (million US$)_13483,0.00028570331621823345
Agricultural production index (2004-2006=100)_107,0.0002855668437819376
"Population age distribution (0-14 / 60+ years, %)_17.7/16.2",0.000285341306527683
Education: Tertiary gross enrol ratio (f/m per 100 pop)_4.6/5.0,0.00028459730400706636
Infant mortality rate (per 1000 live births_66.5,0.0002845150858547338
Threatened species (number)_13.0,0.00028444973682065027
International migrant stock (000/% of total pop)_10185.9/32.3,0.00028415038836271085
Threatened species (number)_8.1,0.00028357787988420377
"Population age distribution (0-14 / 60+ years, %)_29.3/10.2",0.00028325041327082135
"Pop using improved drinking water (urban/rural, %)_93.8/95.5",0.0002828607969068812
